응답자 ID,train 선호,train 비선호,valid 선호,valid 비선호
52002,W_24111_70_hippie_M.jpg,"T_00004_90_hiphop_M.jpg, T_03007_10_sportivecasual_M.jpg, T_03118_19_normcore_M.jpg, W_02699_60_mods_M.jpg, W_23983_60_mods_M.jpg",,
66699,"T_00004_90_hiphop_M.jpg, T_01568_50_ivy_M.jpg, T_15877_10_sportivecasual_M.jpg, T_16259_10_sportivecasual_M.jpg, W_00901_60_mods_M.jpg","T_03643_00_metrosexual_M.jpg, T_06009_10_sportivecasual_M.jpg, W_15364_00_metrosexual_M.jpg, W_24031_60_mods_M.jpg",,
66797,"T_01259_10_sportivecasual_M.jpg, T_16092_10_sportivecasual_M.jpg, T_16332_10_sportivecasual_M.jpg, W_23958_60_mods_M.jpg, W_24020_60_mods_M.jpg","T_00004_90_hiphop_M.jpg, W_15467_70_hippie_M.jpg, W_24865_60_mods_M.jpg, W_49510_00_metrosexual_M.jpg","T_08486_10_sportivecasual_M.jpg, W_23958_60_mods_M.jpg",
66684,"T_00047_19_normcore_M.jpg, T_03699_90_hiphop_M.jpg, W_02673_60_mods_M.jpg, W_32443_70_hippie_M.jpg","T_00007_19_normcore_M.jpg, W_51917_00_metrosexual_M.jpg",W_15341_60_mods_M.jpg,
66817,"T_00012_19_normcore_M.jpg, T_04506_90_hiphop_M.jpg","T_03624_90_hiphop_M.jpg, T_04522_90_hiphop_M.jpg, W_16694_00_metrosexual_M.jpg",,W_17135_00_metrosexual_M.jpg
41660,"T_00023_10_sportivecasual_M.jpg, W_15257_00_metrosexual_M.jpg","W_24605_80_bold_M.jpg, W_29178_90_hiphop_M.jpg, W_32797_90_hiphop_M.jpg",,
67218,"T_00023_10_sportivecasual_M.jpg, T_02681_19_normcore_M.jpg, T_16347_10_sportivecasual_M.jpg","T_04487_90_hiphop_M.jpg, T_15623_80_bold_M.jpg",T_16233_10_sportivecasual_M.jpg,
66545,"T_00026_19_normcore_M.jpg, T_02919_80_bold_M.jpg, T_06091_60_mods_M.jpg","T_03510_90_hiphop_M.jpg, T_04031_10_sportivecasual_M.jpg, T_06102_00_metrosexual_M.jpg, T_07561_10_sportivecasual_M.jpg, W_23905_60_mods_M.jpg, W_24717_60_mods_M.jpg",,"T_04031_10_sportivecasual_M.jpg, W_24717_60_mods_M.jpg"
67006,"T_00032_19_normcore_M.jpg, W_15270_60_mods_M.jpg","T_03556_60_mods_M.jpg, W_00489_60_mods_M.jpg",W_15270_60_mods_M.jpg,
25042,"T_04539_90_hiphop_M.jpg, T_06015_60_mods_M.jpg, T_08477_80_bold_M.jpg","T_00033_19_normcore_M.jpg, T_00194_90_hiphop_M.jpg, W_26453_70_hippie_M.jpg, W_33002_60_mods_M.jpg",,W_33002_60_mods_M.jpg
